target,treatment,well,is_reference_distance,on_mean,on_std,on_stderr,on_var,off_mean,off_std,off_stderr,off_var,n_iterations
healthy_DMSO,,,true,1.0,5.49417910395304e-17,7.769942602917247e-18,3.0186004026314227e-33,0.0,0.0,0.0,0.0,50
healthy_DMSO,failing-TGFRi,B04,false,0.8989556915729646,0.007295858266031206,0.0010317901708973183,0.00005322954783801588,0.0571606740210813,0.03009226843512459,0.0042556894143524985,0.0009055446195715957,50
healthy_DMSO,failing-TGFRi,B07,false,0.9466994454211618,0.007781152928814466,0.0011004212002828548,0.00006054634090159794,0.25206728538961853,0.036941440962573166,0.0052243086822875975,0.0013646700603912785,50
healthy_DMSO,failing-TGFRi,B10,false,0.8712209142766524,0.007281094901321477,0.0010297023158374425,0.000053014342962049606,0.25518703276592375,0.05737910275889957,0.008114630531843523,0.003292361433416356,50
healthy_DMSO,failing-TGFRi,D04,false,0.9494680848187171,0.007705412229456615,0.001089709847857305,0.00005937337762585956,0.3776760770192054,0.05077524013570525,0.007180703323266507,0.0025781250108385338,50
healthy_DMSO,failing-TGFRi,D07,false,1.0848325369674408,0.008687896418822307,0.0012286540943991149,0.00007547954418418547,0.41171877356510966,0.030317326647252667,0.0042875174519439955,0.0009191402950362165,50
healthy_DMSO,failing-TGFRi,D10,false,0.9297072242130525,0.007682975887168108,0.0010865368699018599,0.00005902811848280658,0.2878861159193144,0.04274464852531477,0.006045006166337126,0.0018271049775526941,50
healthy_DMSO,failing-drug_x,B03,false,0.9441843713251084,0.007845371175382093,0.0011095030318076305,0.0000615498488795162,0.487737847716763,0.03693865450340985,0.005223914617453621,0.0013644641965222806,50
healthy_DMSO,failing-drug_x,B06,false,0.9520215335565471,0.007947470850045714,0.0011239421062699479,0.00006316229291232634,0.4155198363663893,0.04253184596226524,0.006014911339259886,0.001808957920957858,50
healthy_DMSO,failing-drug_x,B09,false,0.9780810069895076,0.008076252942551338,0.001142154644451172,0.00006522586159206915,0.39881055371651786,0.03673310494473736,0.005194845520092178,0.0013493209988810885,50
healthy_DMSO,failing-drug_x,D03,false,0.9626542393892518,0.007949027077953016,0.001124162190131213,0.00006318703148603026,0.5283162879709052,0.04587940625013846,0.0064883278552570756,0.002104919917865244,50
healthy_DMSO,failing-drug_x,D06,false,0.9674357829377286,0.008185733236947,0.0011576374961658664,0.00006700622862645882,0.4973468964827793,0.030355758298827085,0.004292952508232089,0.0009214720618968095,50
healthy_DMSO,failing-drug_x,D09,false,0.9992542763129424,0.008310034699028208,0.0011752163775156713,0.00006905667669905283,0.6111835002757355,0.030220539548226687,0.004273829689133466,0.0009132810105859332,50
healthy_DMSO,healthy-TGFRi,C04,false,0.7904861353578647,0.0068944895200206855,0.0009750280584852423,0.00004753398574167507,0.1304730327044705,0.040306230137273906,0.005700161730826393,0.0016245921878788872,50
healthy_DMSO,healthy-TGFRi,C07,false,0.774641010190748,0.0067142298983332354,0.0009495354983113789,0.00004508088312767193,0.14307706190308106,0.047253396998327764,0.006682639490323522,0.0022328835278815715,50
healthy_DMSO,healthy-TGFRi,C10,false,0.76889397511049,0.00645051569702599,0.0009122406783034694,0.0000416091527575787,0.1654645428087251,0.049328624525480286,0.00697612098171443,0.0024333131975758154,50
healthy_DMSO,healthy-TGFRi,E04,false,0.9270749729340652,0.007424426978746661,0.001049972532619223,0.000055122115962741266,0.0,0.0,0.0,0.0,50
healthy_DMSO,healthy-TGFRi,E07,false,0.8818681862947468,0.007158034641692183,0.0010122989670217522,0.00005123745993166533,0.0011254901960784313,0.004515074255722099,0.00063852792475638,0.000020385895534684466,50
healthy_DMSO,healthy-TGFRi,E10,false,0.8153696183582548,0.006758943249675733,0.0009558589211001502,0.000045683313852337155,0.41050295463319764,0.033648111729543434,0.004758561595616554,0.0011321954229638386,50
healthy_DMSO,healthy-drug_x,C03,false,0.9279483980126052,0.00760525250727306,0.0010755451241057548,0.000057839865699383164,0.3347719361568624,0.04731002439772438,0.0066906478139463835,0.002238238408513276,50
healthy_DMSO,healthy-drug_x,C06,false,0.9119765824779796,0.007469587895284219,0.0010563592506848845,0.00005579474332537653,0.2880098221739556,0.041968481130027796,0.005935239520628462,0.0017613534083614991,50
healthy_DMSO,healthy-drug_x,C09,false,0.9314595730191405,0.007691377197155352,0.0010877249945544262,0.000059157283188921324,0.3494649622822793,0.044589451522707164,0.006305900708219013,0.001988219187095852,50
healthy_DMSO,healthy-drug_x,E03,false,1.070092734351797,0.008782909641710097,0.001242090993240384,0.00007713950177444419,0.5615400180710494,0.045846758499852897,0.006483710766133593,0.002101925264943834,50
healthy_DMSO,healthy-drug_x,E06,false,1.0802583228332308,0.00895057872230416,0.0012658029820170591,0.00008011285946416398,0.5610344734242347,0.0423156649890447,0.005984338732834336,0.0017906155034650634,50
healthy_DMSO,healthy-drug_x,E09,false,1.153618282580004,0.009528706991396293,0.0013475626659111967,0.00009079625692788458,0.3831586927623149,0.03772050640847783,0.005334485174245059,0.001422836603712017,50
