profile,mean_ρ,feature_space
Metaphase,0.09173015175488616,original
Anaphase,0.10741579042957994,original
Large,0.10789864291445658,original
OutOfFocus,0.11363183149609205,original
Apoptosis,0.13635359695398247,original
MetaphaseAlignment,0.18328955919667994,original
SmallIrregular,0.25039245227635576,original
Elongated,0.25480681663402616,original
Folded,0.28203550110602266,original
Binuclear,0.2934372802220056,original
Polylobed,0.30920125378237945,original
Interphase,0.3243947185693941,original
Grape,0.3317717996324666,original
Prometaphase,0.33466930951662327,original
Hole,0.38115268128406643,original
ADCCM,0.39918964784273947,original
Binuclear,0.12889709467535274,shuffled
Polylobed,0.16081336987820904,shuffled
MetaphaseAlignment,0.25693627840956207,shuffled
Elongated,0.275522399748698,shuffled
Folded,0.28323835126089597,shuffled
Prometaphase,0.29614064195863027,shuffled
Interphase,0.3187575743615842,shuffled
OutOfFocus,0.3195454298627934,shuffled
ADCCM,0.33211553804903804,shuffled
Apoptosis,0.3679322806471588,shuffled
Metaphase,0.3774919905948921,shuffled
Large,0.37850033698631325,shuffled
Grape,0.38221892452709993,shuffled
Anaphase,0.40816161696394576,shuffled
SmallIrregular,0.40875227055305213,shuffled
Hole,0.4257989016500726,shuffled
