profile,original,shuffled,delta_real_minus_shuffled
Anaphase,0.10741579042957994,0.40816161696394576,-0.3007458265343658
Metaphase,0.09173015175488616,0.3774919905948921,-0.28576183884000594
Large,0.10789864291445658,0.37850033698631325,-0.27060169407185664
Apoptosis,0.13635359695398247,0.3679322806471588,-0.23157868369317636
OutOfFocus,0.11363183149609205,0.3195454298627934,-0.20591359836670134
SmallIrregular,0.25039245227635576,0.40875227055305213,-0.15835981827669637
MetaphaseAlignment,0.18328955919667994,0.25693627840956207,-0.07364671921288213
Grape,0.3317717996324666,0.38221892452709993,-0.05044712489463332
Hole,0.38115268128406643,0.4257989016500726,-0.044646220366006184
Elongated,0.25480681663402616,0.275522399748698,-0.020715583114671865
Folded,0.28203550110602266,0.28323835126089597,-0.001202850154873314
Interphase,0.3243947185693941,0.3187575743615842,0.005637144207809919
Prometaphase,0.33466930951662327,0.29614064195863027,0.038528667557993
ADCCM,0.39918964784273947,0.33211553804903804,0.06707410979370143
Polylobed,0.30920125378237945,0.16081336987820904,0.1483878839041704
Binuclear,0.2934372802220056,0.12889709467535274,0.16454018554665287
